Base path:	Sample name:	Section name	User ID
	JC36_74_1	JC36_74_1REP1	
Year	Month	Day	Time
2022	01	31	12
Voltage	55	kV	
Current	50	mA	
Exposure time	0	ms	
line camera signal level	665187	at 25 ms	
Step size	2000	microns	
XRF	ON		
XRF exp. time	15	seconds	
Start coordinate	200.0	Stop coordinate	300.0
XRF voltage and current	30	  	30
Tube	Mo		
Optical Start	0.3	Optical End	651.4
Step size	0.188	microns	
Start temperature		°C	
Start humidity		%	
Start vacuum	-96.4	kPa	
Stop temperature		°C	
Stop humidity		%	
Stop vacuum		kPa	
