Base path:	Sample name:	Section name	User ID
	JC36_74_3	JC36_74_3RAD	
Year	Month	Day	Time
2022	01	31	17
Voltage	55	kV	
Current	50	mA	
Exposure time	500	ms	
line camera signal level	664491	at 25 ms	
Step size	200	microns	
XRF	OFF		
XRF exp. time	0	seconds	
Start coordinate	0.0	Stop coordinate	698.1
XRF voltage and current	0	  	0
Tube	Mo		
Optical Start	0.4	Optical End	791.3
Step size	0.188	microns	
Start temperature		°C	
Start humidity		%	
Start vacuum	No XRF	kPa	
Stop temperature		°C	
Stop humidity		%	
Stop vacuum	No XRF	kPa	
